"","Species","month_year","month","year","Events","Total_animals","Subadult_animals","active_days","sighting_per_day","sighting_per_month","animals_per_day","animals_per_month","subadult_animals_per_day","subadult_animals_per_month"
"99","Bos taurus","2022-04","04","2022",1,1,0,712,0.00140449438202247,0.0421348314606742,0.00140449438202247,0.0421348314606742,0,0
"100","Bos taurus","2022-05","05","2022",3,31,0,801,0.00374531835205993,0.116104868913858,0.0387016229712859,1.19975031210986,0,0
"101","Bos taurus","2022-07","07","2022",2,5,0,762,0.0026246719160105,0.0813648293963255,0.00656167979002625,0.203412073490814,0,0
"102","Bos taurus","2022-08","08","2022",2,3,0,859,0.00232828870779977,0.0721769499417928,0.00349243306169965,0.108265424912689,0,0
"103","Bos taurus","2022-09","09","2022",8,11,0,793,0.0100882723833544,0.302648171500631,0.0138713745271122,0.416141235813367,0,0
"104","Bos taurus","2022-10","10","2022",1,3,0,598,0.00167224080267559,0.0518394648829431,0.00501672240802676,0.155518394648829,0,0
"105","Canidae sp","2022-02","02","2022",4,5,0,559,0.00715563506261181,0.200357781753131,0.00894454382826476,0.250447227191413,0,0
"106","Canidae sp","2022-03","03","2022",3,3,0,713,0.00420757363253857,0.130434782608696,0.00420757363253857,0.130434782608696,0,0
"107","Canidae sp","2022-04","04","2022",2,2,0,712,0.00280898876404494,0.0842696629213483,0.00280898876404494,0.0842696629213483,0,0
"108","Canidae sp","2022-05","05","2022",5,5,0,801,0.00624219725343321,0.193508114856429,0.00624219725343321,0.193508114856429,0,0
"109","Canidae sp","2022-07","07","2022",4,4,0,762,0.005249343832021,0.162729658792651,0.005249343832021,0.162729658792651,0,0
"110","Canidae sp","2022-08","08","2022",4,4,0,859,0.00465657741559953,0.144353899883586,0.00465657741559953,0.144353899883586,0,0
"111","Canidae sp","2022-09","09","2022",1,1,0,793,0.00126103404791929,0.0378310214375788,0.00126103404791929,0.0378310214375788,0,0
"112","Canidae sp","2022-10","10","2022",3,4,0,598,0.00501672240802676,0.155518394648829,0.00668896321070234,0.207357859531773,0,0
"113","Canidae sp","2022-11","11","2022",3,3,0,529,0.0056710775047259,0.170132325141777,0.0056710775047259,0.170132325141777,0,0
"114","Canis aureus","2020-01","01","2020",4,4,0,615,0.00650406504065041,0.201626016260163,0.00650406504065041,0.201626016260163,0,0
"115","Canis aureus","2020-02","02","2020",9,10,0,678,0.0132743362831858,0.384955752212389,0.0147492625368732,0.427728613569322,0,0
"116","Canis aureus","2020-03","03","2020",7,7,0,758.5,0.00922874093605801,0.286090969017798,0.00922874093605801,0.286090969017798,0,0
"117","Canis aureus","2020-04","04","2020",11,11,0,784,0.014030612244898,0.420918367346939,0.014030612244898,0.420918367346939,0,0
"118","Canis aureus","2020-05","05","2020",2,2,0,779,0.00256739409499358,0.079589216944801,0.00256739409499358,0.079589216944801,0,0
"119","Canis aureus","2020-06","06","2020",2,2,0,700,0.00285714285714286,0.0857142857142857,0.00285714285714286,0.0857142857142857,0,0
"120","Canis aureus","2020-07","07","2020",2,2,0,733,0.00272851296043656,0.0845839017735334,0.00272851296043656,0.0845839017735334,0,0
